asv_id	System
ASV_773	Lagoon
ASV_774	Lagoon
ASV_775	Lagoon
ASV_776	Lagoon
ASV_777	Lagoon
ASV_822	Lagoon
ASV_832	Lagoon
ASV_835	Lagoon
ASV_836	Lagoon
ASV_837	Lagoon
ASV_838	Lagoon
ASV_839	Lagoon
ASV_840	Lagoon
ASV_841	Lagoon
ASV_842	Lagoon
ASV_843	Lagoon
ASV_844	Lagoon
ASV_845	Lagoon
ASV_846	Lagoon
ASV_847	Lagoon
ASV_894	Lagoon
ASV_895	Lagoon
ASV_896	Lagoon
ASV_897	Lagoon
ASV_898	Lagoon
ASV_899	Lagoon
ASV_954	Lagoon
ASV_123	Lagoon
ASV_431	Lagoon
ASV_444	Lagoon
ASV_494	Lagoon
ASV_524	Lagoon
ASV_558	Lagoon
ASV_609	Lagoon
ASV_610	Lagoon
ASV_735	Lagoon
ASV_767	Lagoon
ASV_778	Lagoon
ASV_779	Lagoon
ASV_900	Lagoon
ASV_901	Lagoon
ASV_902	Lagoon
ASV_903	Lagoon
ASV_904	Lagoon
ASV_905	Lagoon
ASV_906	Lagoon
ASV_955	Lagoon
ASV_956	Lagoon
ASV_21	Lagoon
ASV_58	Lagoon
ASV_103	Lagoon
ASV_611	Lagoon
ASV_717	Lagoon
ASV_848	Lagoon
ASV_871	Lagoon
ASV_907	Lagoon
ASV_908	Lagoon
ASV_957	Lagoon
ASV_958	Lagoon
ASV_16	Stream
ASV_18	Stream
ASV_21	Stream
ASV_33	Stream
ASV_51	Stream
ASV_63	Stream
ASV_67	Stream
ASV_82	Stream
ASV_105	Stream
ASV_109	Stream
ASV_118	Stream
ASV_139	Stream
ASV_172	Stream
ASV_187	Stream
ASV_218	Stream
ASV_270	Stream
ASV_271	Stream
ASV_272	Stream
ASV_285	Stream
ASV_303	Stream
ASV_310	Stream
ASV_311	Stream
ASV_330	Stream
ASV_363	Stream
ASV_384	Stream
ASV_436	Stream
ASV_464	Stream
ASV_495	Stream
ASV_496	Stream
ASV_523	Stream
ASV_525	Stream
ASV_526	Stream
ASV_591	Stream
