"asv_id","System_derep"
"ASV_720","Stream"
"ASV_722","Stream"
"ASV_723","Stream"
"ASV_786","Stream"
"ASV_787","Stream"
"ASV_788","Stream"
"ASV_789","Stream"
"ASV_854","Stream"
"ASV_855","Stream"
"ASV_856","Stream"
"ASV_857","Stream"
"ASV_858","Stream"
"ASV_914","Stream"
"ASV_33","Lagoon"
"ASV_43","Lagoon"
"ASV_53","Lagoon"
"ASV_71","Lagoon"
"ASV_76","Lagoon"
"ASV_87","Lagoon"
"ASV_140","Lagoon"
"ASV_211","Lagoon"
"ASV_566","Lagoon"
"ASV_793","Lagoon"
"ASV_961","Lagoon"
"ASV_962","Lagoon"
"ASV_51","Stream"
"ASV_67","Stream"
"ASV_89","Stream"
"ASV_258","Stream"
"ASV_435","Stream"
"ASV_436","Stream"
"ASV_457","Stream"
"ASV_490","Stream"
"ASV_561","Stream"
"ASV_617","Stream"
"ASV_664","Stream"
"ASV_703","Stream"
"ASV_724","Stream"
"ASV_753","Stream"
"ASV_766","Stream"
"ASV_790","Stream"
"ASV_791","Stream"
"ASV_859","Stream"
"ASV_915","Stream"
"ASV_963","Stream"
"ASV_151","Stream"
"ASV_217","Stream"
"ASV_240","Stream"
"ASV_253","Stream"
"ASV_265","Stream"
"ASV_302","Stream"
"ASV_338","Stream"
"ASV_513","Stream"
"ASV_517","Stream"
"ASV_680","Stream"
"ASV_760","Stream"
"ASV_761","Stream"
"ASV_762","Stream"
"ASV_769","Stream"
"ASV_792","Stream"
"ASV_834","Stream"
"ASV_860","Stream"
"ASV_916","Stream"
"ASV_917","Stream"
"ASV_964","Stream"
